Owner,Scripts,Quantity,LTP
Dick,ACLBSL,10.0,714.0
Dick,AKJCL,20.0,53.0
Dick,BPCL,24.0,363.0
Dick,HPPL,10.0,137.0
Dick,JOSHI,20.0,58.0
Dick,NIB,180.0,421.0
Dick,NICA,421.0,577.0
Dick,NMB,15.0,421.0
Dick,NRIC,40.0,665.0
Dick,PFL,42.0,150.0
Dick,RHPL,40.0,147.0
Dick,RRHP,10.0,92.0
Dick,SCB,20.0,646.0
Dick,SICL,59.0,1244.0
Dick,SJCL,20.0,136.0
Dick,SLBS,24.0,942.0
Dick,SLBSL,10.0,835.0
Dick,TJVCL,30.0,10.0
Dick,UPPER,50.0,223.0
Harry,AKJCL,10.0,53.0
Harry,BPCL,24.0,364.0
Harry,CHCL,2081.0,395.0
Harry,HPPL,10.0,137.0
Harry,ILBS,11.0,749.0
Harry,JOSHI,20.0,60.0
Harry,MEGA,195.0,223.0
Harry,NHDL,10.0,134.0
Harry,NIB,49.0,420.0
Harry,NLIC,22.0,1390.0
Harry,NMB,15.0,422.0
Harry,NRIC,20.0,665.0
Harry,PFL,14.0,150.0
Harry,PIC,11.0,707.0
Harry,RHPL,70.0,147.0
Harry,RRHP,10.0,92.0
Harry,UMHL,10.0,103.0
Harry,UPPER,50.0,224.0
Jenny,AKJCL,10.0,53.0
Jenny,BPCL,24.0,364.0
Jenny,CZBIL,10.0,195.0
Jenny,FMDBL,174.0,552.0
Jenny,GBLBS,15.0,497.0
Jenny,HPPL,10.0,137.0
Jenny,JOSHI,20.0,60.0
Jenny,NIB,49.0,421.0
Jenny,NLIC,22.0,1385.0
Jenny,NMB,15.0,421.0
Jenny,NRIC,40.0,666.0
Jenny,PFL,14.0,150.0
Jenny,PIC,11.0,706.0
Jenny,RADHI,12.0,173.0
Jenny,RBCL,11.0,9693.0
Jenny,RHPL,30.0,147.0
Jenny,RRHP,10.0,91.0
Jenny,SBI,24.0,422.0
Jenny,SCB,20.0,646.0
Jenny,SICL,10.0,1244.0
Jenny,SJCL,20.0,135.0
Jenny,TJVCL,20.0,10.0
Jenny,UPPER,50.0,224.0
Joe,JOSHI,10.0,60.0
Joe,NMB,15.0,422.0
Joe,RRHP,10.0,91.0
Joe,UPPER,40.0,225.0
Julia,AKBSL,10.0,465.0
Julia,BPCL,24.0,364.0
Julia,HPPL,10.0,137.0
Julia,ILBS,11.0,749.0
Julia,NIB,49.0,420.0
Julia,PFL,14.0,150.0
Julia,SCB,20.0,647.0
Julia,SDLBSL,10.0,830.0
Julia,UMHL,10.0,103.0
Lauren,AKBSL,10.0,465.0
Lauren,BPCL,24.0,364.0
Lauren,JOSHI,20.0,60.0
Lauren,NMB,15.0,421.0
Lauren,PIC,11.0,706.0
Lauren,RHPL,10.0,147.0
Lauren,SJCL,10.0,135.0
Nenad,BPCL,24.0,364.0
Nenad,HPPL,20.0,137.0
Nenad,JOSHI,20.0,60.0
Nenad,NHDL,10.0,135.0
Nenad,NIB,49.0,420.0
Nenad,NLIC,22.0,1390.0
Nenad,NMB,15.0,422.0
Nenad,PFL,14.0,150.0
Nenad,SCB,20.0,646.0
Nenad,UPPER,50.0,225.0
Pat,BPCL,24.0,364.0
Pat,GBLBS,15.0,497.0
Pat,HPPL,10.0,137.0
Pat,JOSHI,20.0,60.0
Pat,NIB,49.0,421.0
Pat,NLIC,22.0,1385.0
Pat,NMB,15.0,421.0
Pat,NRIC,10.0,666.0
Pat,PFL,14.0,150.0
Pat,RRHP,10.0,91.0
Pat,SCB,20.0,646.0
Pat,UPPER,40.0,224.0
Sam,AKJCL,20.0,52.0
Sam,AKPL,197.0,116.0
Sam,API,381.0,107.0
Sam,CBBL,19.0,1084.0
Sam,CHCL,59.0,397.0
Sam,CZBIL,3.0,194.0
Sam,DDBL,71.0,851.0
Sam,EBL,37.0,719.0
Sam,GHL,30.0,62.0
Sam,HBL,11.0,555.0
Sam,HDHPC,100.0,96.0
Sam,HPPL,10.0,137.0
Sam,JOSHI,20.0,59.0
Sam,LBL,24.0,230.0
Sam,LICN,1.0,1477.0
Sam,MDB,43.0,333.0
Sam,NABIL,79.0,829.0
Sam,NIBPO,277.0,357.0
Sam,NICA,3.0,577.0
Sam,NMFBS,7.0,1535.0
Sam,NRIC,50.0,660.0
Sam,PFL,14.0,150.0
Sam,RHPL,50.0,147.0
Sam,RRHP,10.0,91.0
Sam,SADBL,10.0,146.0
Sam,SANIMA,1.0,342.0
Sam,SBL,22.0,302.0
Sam,SHIVM,100.0,648.0
Sam,SICL,8.0,1245.0
Sam,SJCL,20.0,135.0
Sam,TJVCL,20.0,10.0
Sam,UNHPL,50.0,59.0
Sam,UPPER,40.0,223.0
Sam,VLBS,13.0,915.0
Sophie,AKJCL,20.0,53.0
Sophie,BPCL,24.0,363.0
Sophie,CZBIL,10.0,195.0
Sophie,FMDBL,174.0,555.0
Sophie,GBLBS,15.0,496.0
Sophie,GMFBS,10.0,813.0
Sophie,HPPL,10.0,137.0
Sophie,ILBS,11.0,749.0
Sophie,JOSHI,20.0,58.0
Sophie,NHDL,10.0,134.0
Sophie,NIB,49.0,421.0
Sophie,NLIC,22.0,1380.0
Sophie,NMB,15.0,421.0
Sophie,PFL,14.0,150.0
Sophie,RADHI,12.0,173.0
Sophie,RHPL,40.0,147.0
Sophie,SCB,20.0,646.0
Sophie,SICL,10.0,1244.0
Sophie,SJCL,20.0,136.0
Sophie,TJVCL,20.0,10.0
Sophie,UPPER,50.0,223.0
Tom,AKBSL,10.0,465.0
Tom,BPCL,24.0,364.0
Tom,JOSHI,20.0,60.0
Tom,NMB,15.0,422.0
Tom,PIC,11.0,707.0
Tom,RADHI,12.0,173.0
Tom,UPPER,50.0,224.0
